"SettlementPoint","Year","Month","HourlyVolatility"
"HB_SOUTH","2018","July",232.884271982883
"HB_SOUTH","2019","July",26.7667624478212
"HB_WEST","2016","July",11.5483326572158
"HB_WEST","2017","July",16.1166703872939
"HB_WEST","2018","July",233.869855523698
"HB_WEST","2019","July",26.9068436119251
"HB_BUSAVG","2016","August",27.1515580878446
"HB_BUSAVG","2017","August",10.8985819132488
"HB_BUSAVG","2018","August",18.5723291326017
"HB_BUSAVG","2019","August",401.206306600097
"HB_HOUSTON","2016","August",33.1217818751932
"HB_HOUSTON","2017","August",13.2258645514401
"HB_HOUSTON","2018","August",18.6641251009878
"HB_HOUSTON","2019","August",401.44106407826
"HB_HUBAVG","2016","August",28.0672077499525
"HB_HUBAVG","2017","August",11.2547650129496
"HB_HUBAVG","2018","August",18.5601453166023
"HB_HUBAVG","2019","August",401.127258968344
"HB_NORTH","2016","August",25.4272238689239
"HB_NORTH","2017","August",10.2558558764881
"HB_NORTH","2018","August",18.6405952376259
"HB_NORTH","2019","August",401.518103927768
"HB_PAN","2019","August",405.926635806789
"HB_SOUTH","2016","August",28.7069926586509
"HB_SOUTH","2017","August",11.5811706021499
"HB_SOUTH","2018","August",18.3176859814945
"HB_SOUTH","2019","August",400.265233231431
"HB_WEST","2016","August",25.3741682892373
"HB_WEST","2017","August",10.2362442572184
"HB_WEST","2018","August",18.6302386686833
"HB_WEST","2019","August",401.288978973943
"HB_BUSAVG","2016","September",14.9042981728904
"HB_BUSAVG","2017","September",7.92365977839328
"HB_BUSAVG","2018","September",10.5109675059282
"HB_BUSAVG","2019","September",380.21393107679
"HB_HOUSTON","2016","September",16.8210396432596
"HB_HOUSTON","2017","September",10.919633588906
"HB_HOUSTON","2018","September",10.7512952459729
"HB_HOUSTON","2019","September",380.543067820698
"HB_HUBAVG","2016","September",15.164137746107
"HB_HUBAVG","2017","September",8.26848361703299
"HB_HUBAVG","2018","September",10.3011257739449
"HB_HUBAVG","2019","September",380.173900259201
"HB_NORTH","2016","September",14.5256271551724
"HB_NORTH","2017","September",7.26125091342344
"HB_NORTH","2018","September",10.9286776737607
"HB_NORTH","2019","September",380.538425419782
"HB_PAN","2019","September",406.930511728875
"HB_SOUTH","2016","September",15.0530597468435
"HB_SOUTH","2017","September",8.80110904577357
"HB_SOUTH","2018","September",10.2184788416361
"HB_SOUTH","2019","September",379.02363509307
"HB_WEST","2016","September",14.581646674594
"HB_WEST","2017","September",6.8312186814573
"HB_WEST","2018","September",10.0695320880247
"HB_WEST","2019","September",380.618104760508
"HB_BUSAVG","2016","October",16.3271195998824
"HB_BUSAVG","2017","October",10.3006301599918
"HB_BUSAVG","2018","October",10.1698297814047
"HB_BUSAVG","2019","October",53.2673442754154
"HB_HOUSTON","2016","October",18.9508199289809
